省名称,市名称,longitude,latitude
四川,宜宾,104.633019,28.769675
四川,资阳,104.63593,30.132191
四川,自贡,104.776071,29.359157
西藏,拉萨,91.111891,29.662557
西藏,阿里地区,81.107669,30.404557
西藏,昌都地区,97.185582,31.140576
西藏,林芝地区,94.349985,29.666941
西藏,那曲地区,92.067018,31.48068
西藏,日喀则地区,88.891486,29.269023
西藏,山南地区,91.750644,29.229027
新疆,乌鲁木齐,87.564988,43.84038
新疆,阿拉尔,81.291737,40.61568
新疆,阿克苏地区,80.269846,41.171731
新疆,阿勒泰地区,88.137915,47.839744
新疆,巴音郭楞,86.121688,41.771362
新疆,博尔塔拉州,82.052436,44.913651
新疆,昌吉州,87.296038,44.007058
新疆,哈密地区,93.528355,42.858596
新疆,和田地区,79.930239,37.116774
新疆,喀什地区,75.992973,39.470627
新疆,克拉玛依,84.88118,45.594331
新疆,克孜勒苏州,76.137564,39.750346
新疆,石河子,86.041865,44.308259
新疆,塔城地区,82.974881,46.758684
新疆,图木舒克,79.198155,39.889223
新疆,吐鲁番地区,89.181595,42.96047
新疆,五家渠,87.565449,44.368899
新疆,伊犁州,81.297854,43.922248
云南,昆明,102.714601,25.049153
云南,保山,99.177996,25.120489
云南,楚雄州,101.529382,25.066356
云南,大理州,100.223675,25.5969
云南,德宏州,98.589434,24.44124
云南,迪庆州,99.713682,27.831029
云南,红河州,103.384065,23.367718
云南,丽江,100.229628,26.875351
云南,临沧,100.092613,23.887806
云南,怒江州,98.859932,25.860677
云南,普洱,100.980058,22.788778
云南,曲靖,103.782539,25.520758
云南,昭通,103.725021,27.340633
云南,文山,104.089112,23.401781
云南,西双版纳,100.803038,22.009433
云南,玉溪,102.545068,24.370447
浙江,杭州,120.219375,30.259244
浙江,湖州,120.137243,30.877925
浙江,嘉兴,120.760428,30.773992
浙江,金华,119.652576,29.102899
浙江,丽水,119.929576,28.4563
浙江,宁波,121.579006,29.885259
浙江,衢州,118.875842,28.95691
浙江,绍兴,120.592467,30.002365
浙江,台州,121.440613,28.668283
浙江,温州,120.690635,28.002838
浙江,舟山,122.169872,30.03601
